VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,tip_amount,tolls_amount,congestion_surcharge,total_amount
1,2024-01-01 17:01:00,2024-01-01 17:14:00,2,1.62,1,198,59,1,4.54,1.0,0.15,0.0,0.0,5.69
2,2024-01-09 02:13:00,2024-01-09 02:48:00,1,0.15,1,187,123,1,3.15,0.5,0.3,6.55,0.0,10.5
1,2024-01-08 12:05:00,2024-01-08 12:31:00,2,0.17,3,116,120,1,3.56,0.0,0.0,6.55,0.0,10.11
2,2024-01-10 07:37:00,2024-01-10 08:02:00,4,1.96,1,58,259,2,8.89,0.0,11.29,0.0,0.0,20.18
1,2024-01-06 13:09:00,2024-01-06 13:26:00,1,1.92,1,70,18,1,11.78,0.0,0.44,6.55,2.5,21.27
1,2024-01-07 17:32:00,2024-01-07 18:01:00,1,4.84,1,93,92,1,15.96,0.0,5.0,6.55,2.5,30.01
1,2024-01-10 00:30:00,2024-01-10 00:43:00,2,1.88,1,229,164,1,7.96,1.0,10.35,0.0,2.5,21.810000000000002
1,2024-01-05 18:33:00,2024-01-05 19:26:00,1,7.39,1,137,144,1,20.93,0.5,0.0,0.0,0.0,21.43
2,2024-01-04 22:35:00,2024-01-04 23:27:00,1,0.11,1,105,238,1,5.36,1.0,2.19,0.0,2.5,11.05
2,2024-01-01 02:41:00,2024-01-01 03:00:00,2,0.24,1,17,174,2,4.13,1.0,3.32,6.55,2.5,17.5
1,2024-01-03 23:37:00,2024-01-04 00:30:00,4,0.1,1,54,83,2,2.5,1.0,0.0,0.0,0.0,3.5
2,2024-01-01 16:35:00,2024-01-01 16:51:00,1,0.47,2,112,157,1,2.5,1.0,0.0,0.0,0.0,3.5
1,2024-01-09 00:14:00,2024-01-09 00:43:00,4,1.79,2,172,109,1,11.62,0.0,1.25,0.0,2.5,15.37
2,2024-01-06 07:09:00,2024-01-06 07:29:00,2,2.39,2,144,178,1,6.69,0.0,3.25,0.0,2.5,12.440000000000001
1,2024-01-01 16:56:00,2024-01-01 17:26:00,1,0.11,1,85,250,2,2.5,0.5,3.34,0.0,2.5,8.84
2,2024-01-06 22:09:00,2024-01-06 23:02:00,1,6.71,3,12,253,1,22.68,1.0,0.58,0.0,2.5,26.759999999999998
2,2024-01-12 23:42:00,2024-01-13 00:31:00,1,4.25,1,252,55,1,11.91,0.0,0.42,0.0,2.5,14.83
1,2024-01-07 10:28:00,2024-01-07 11:17:00,3,0.81,2,216,155,2,2.5,0.5,5.57,6.55,2.5,17.62
1,2024-01-09 11:05:00,2024-01-09 11:11:00,4,0.18,3,126,91,1,2.5,1.0,0.0,0.0,0.0,3.5
1,2024-01-05 09:31:00,2024-01-05 09:40:00,2,0.43,2,98,126,1,6.01,1.0,0.0,0.0,0.0,7.01
1,2024-01-06 22:51:00,2024-01-06 23:38:00,1,0.31,2,28,169,1,2.51,0.0,0.1,0.0,2.5,5.109999999999999
1,2024-01-06 00:08:00,2024-01-06 00:45:00,2,0.3,3,52,139,1,11.16,1.0,4.0,0.0,0.0,16.16
2,2024-01-04 15:56:00,2024-01-04 16:46:00,3,1.68,2,143,5,2,5.22,1.0,0.0,0.0,2.5,8.719999999999999
1,2024-01-13 19:26:00,2024-01-13 19:37:00,2,0.65,1,132,66,1,2.52,0.0,0.0,0.0,2.5,5.02
2,2024-01-12 10:08:00,2024-01-12 10:18:00,3,1.02,1,207,111,2,4.44,0.5,0.0,0.0,0.0,4.94
1,2024-01-12 06:16:00,2024-01-12 07:10:00,2,10.48,1,62,184,2,32.95,0.5,1.44,6.55,0.0,41.44
2,2024-01-06 13:26:00,2024-01-06 14:13:00,1,2.65,1,132,170,2,9.24,0.0,0.78,0.0,2.5,12.52
2,2024-01-02 18:48:00,2024-01-02 19:07:00,1,6.84,2,41,244,1,23.68,0.0,0.0,0.0,0.0,23.68
1,2024-01-02 09:47:00,2024-01-02 10:06:00,2,0.35,1,201,138,1,2.5,0.5,0.0,6.55,2.5,12.05
1,2024-01-02 20:55:00,2024-01-02 21:46:00,1,1.11,1,99,28,1,3.11,0.5,0.0,0.0,0.0,3.61
2,2024-01-11 17:02:00,2024-01-11 17:37:00,1,1.86,3,47,7,2,5.21,0.0,0.0,0.0,2.5,7.71
2,2024-01-04 15:38:00,2024-01-04 16:12:00,4,0.18,1,137,51,1,2.5,0.0,3.36,0.0,0.0,5.859999999999999
1,2024-01-05 16:16:00,2024-01-05 16:26:00,2,0.01,1,130,136,1,2.5,0.0,0.0,0.0,2.5,5.0
2,2024-01-01 06:31:00,2024-01-01 06:52:00,1,2.55,1,195,178,1,9.39,1.0,0.87,6.55,0.0,17.81
2,2024-01-10 17:06:00,2024-01-10 17:46:00,4,2.36,2,117,129,1,8.03,0.0,2.4,0.0,0.0,10.43
2,2024-01-09 19:06:00,2024-01-09 19:11:00,3,1.22,2,69,197,1,9.52,1.0,3.19,0.0,0.0,13.709999999999999
2,2024-01-05 02:12:00,2024-01-05 02:19:00,1,1.55,1,28,107,1,10.41,0.5,0.0,0.0,2.5,13.41
2,2024-01-03 11:21:00,2024-01-03 11:36:00,2,1.23,2,14,48,1,5.61,0.5,0.0,0.0,0.0,6.11
2,2024-01-05 07:04:00,2024-01-05 07:53:00,2,0.06,3,46,138,1,2.5,0.0,0.0,0.0,0.0,2.5
1,2024-01-14 12:43:00,2024-01-14 13:31:00,3,0.94,3,16,103,2,4.22,0.0,3.57,0.0,2.5,10.29
1,2024-01-06 19:52:00,2024-01-06 20:25:00,1,0.45,3,209,47,1,2.76,0.5,3.8,6.55,2.5,16.11
1,2024-01-10 01:47:00,2024-01-10 02:05:00,2,0.24,1,158,153,1,2.5,0.5,0.0,0.0,0.0,3.0
1,2024-01-11 14:25:00,2024-01-11 15:17:00,1,7.22,1,227,6,1,21.47,0.5,0.18,0.0,0.0,22.15
2,2024-01-14 12:48:00,2024-01-14 13:22:00,3,2.1,3,241,11,1,7.25,0.5,0.0,0.0,0.0,7.75
1,2024-01-02 16:54:00,2024-01-02 17:18:00,3,3.0,1,58,17,2,10.43,0.0,0.0,0.0,0.0,10.43
2,2024-01-09 05:17:00,2024-01-09 05:48:00,2,0.87,3,130,143,2,3.85,1.0,1.09,0.0,2.5,8.44
2,2024-01-10 17:59:00,2024-01-10 18:23:00,2,1.15,1,217,66,2,6.74,0.5,0.0,6.55,0.0,13.79
1,2024-01-14 06:35:00,2024-01-14 07:20:00,1,0.62,1,14,256,2,5.64,0.5,1.95,0.0,2.5,10.59
1,2024-01-08 14:45:00,2024-01-08 14:50:00,3,0.23,1,243,127,2,2.5,1.0,3.85,0.0,2.5,9.85
2,2024-01-07 18:42:00,2024-01-07 18:54:00,2,0.45,1,145,131,1,7.44,0.0,0.11,0.0,0.0,7.550000000000001
1,2024-01-04 12:16:00,2024-01-04 13:00:00,1,3.67,3,103,18,1,10.83,1.0,2.0,0.0,2.5,16.33
1,2024-01-11 09:08:00,2024-01-11 09:31:00,4,2.6,1,217,207,1,7.28,0.0,2.27,6.55,0.0,16.1
2,2024-01-06 15:10:00,2024-01-06 15:28:00,4,1.82,1,64,89,2,9.05,0.0,2.03,0.0,2.5,13.58
2,2024-01-10 13:33:00,2024-01-10 13:47:00,4,1.48,3,158,243,2,5.1,0.0,2.31,0.0,2.5,9.91
2,2024-01-13 02:12:00,2024-01-13 02:16:00,2,5.88,3,162,17,1,20.27,0.0,0.0,0.0,2.5,22.77
2,2024-01-01 08:22:00,2024-01-01 09:05:00,3,0.17,2,18,223,1,2.5,0.0,0.31,0.0,0.0,2.81
2,2024-01-05 19:10:00,2024-01-05 19:36:00,4,0.76,2,216,210,2,8.61,0.5,0.59,0.0,2.5,12.2
2,2024-01-09 19:25:00,2024-01-09 20:02:00,1,0.99,3,49,99,2,7.45,0.0,2.12,6.55,2.5,18.62
1,2024-01-01 03:26:00,2024-01-01 03:58:00,2,3.51,1,56,13,2,9.83,0.5,0.04,0.0,2.5,12.87
1,2024-01-13 09:48:00,2024-01-13 10:20:00,3,11.26,2,58,187,1,31.53,0.0,0.0,6.55,2.5,40.58
1,2024-01-12 01:34:00,2024-01-12 02:23:00,1,0.63,3,155,133,1,8.94,0.5,0.0,0.0,2.5,11.94
2,2024-01-12 23:27:00,2024-01-13 00:04:00,3,4.77,1,55,14,2,14.51,1.0,0.0,0.0,2.5,18.009999999999998
2,2024-01-14 07:34:00,2024-01-14 07:55:00,1,4.08,2,19,44,2,12.34,1.0,2.01,6.55,0.0,21.9
1,2024-01-07 01:55:00,2024-01-07 02:47:00,3,0.59,1,151,104,1,2.5,0.5,1.68,6.55,2.5,13.73
1,2024-01-09 14:23:00,2024-01-09 14:33:00,4,1.17,1,108,62,1,5.4,0.0,0.66,0.0,2.5,8.56
1,2024-01-13 14:21:00,2024-01-13 14:49:00,2,1.21,1,47,53,1,5.82,0.5,1.37,0.0,0.0,7.69
2,2024-01-11 07:00:00,2024-01-11 07:51:00,2,8.8,1,207,118,1,29.43,0.5,5.29,6.55,2.5,44.269999999999996
1,2024-01-06 06:14:00,2024-01-06 06:56:00,1,0.46,1,128,131,2,2.5,0.0,1.22,6.55,2.5,12.77
1,2024-01-05 10:14:00,2024-01-05 10:23:00,3,3.69,1,185,199,1,10.33,1.0,2.19,0.0,0.0,13.52
1,2024-01-02 03:58:00,2024-01-02 04:30:00,2,0.94,1,58,36,1,6.76,0.5,0.0,6.55,0.0,13.809999999999999
2,2024-01-14 15:06:00,2024-01-14 15:15:00,1,3.02,1,143,216,1,13.97,1.0,0.18,6.55,2.5,24.2
1,2024-01-01 17:39:00,2024-01-01 17:44:00,3,1.25,1,97,74,2,3.5,1.0,0.0,0.0,2.5,7.0
1,2024-01-12 05:58:00,2024-01-12 06:01:00,2,1.99,2,47,55,1,11.28,1.0,0.0,0.0,2.5,14.78
2,2024-01-07 21:14:00,2024-01-07 21:52:00,1,4.11,1,191,12,1,14.6,0.5,0.95,0.0,2.5,18.55
2,2024-01-14 13:41:00,2024-01-14 14:08:00,1,3.75,1,140,83,1,16.23,0.5,0.57,0.0,0.0,17.3
2,2024-01-08 12:17:00,2024-01-08 12:56:00,1,4.63,3,103,32,2,15.79,0.0,3.03,0.0,2.5,21.32
2,2024-01-08 14:01:00,2024-01-08 14:04:00,2,0.14,2,231,86,1,2.5,0.0,0.41,0.0,0.0,2.91
2,2024-01-07 19:09:00,2024-01-07 19:26:00,1,2.71,1,49,232,1,10.21,0.5,0.62,0.0,2.5,13.83
1,2024-01-12 07:52:00,2024-01-12 08:31:00,4,0.35,3,112,201,1,6.63,0.0,0.0,0.0,0.0,6.63
1,2024-01-08 19:32:00,2024-01-08 19:47:00,3,1.24,3,87,51,1,4.24,1.0,0.89,0.0,2.5,8.629999999999999
2,2024-01-02 20:53:00,2024-01-02 21:35:00,2,1.83,1,252,256,1,7.15,1.0,1.94,0.0,0.0,10.09
2,2024-01-10 16:11:00,2024-01-10 16:21:00,2,1.19,1,74,241,2,5.89,0.5,0.0,0.0,0.0,6.39
2,2024-01-03 12:27:00,2024-01-03 12:34:00,1,1.69,1,47,205,2,4.73,1.0,1.1,0.0,0.0,6.83
2,2024-01-12 05:17:00,2024-01-12 05:28:00,2,13.02,1,76,196,1,43.63,0.5,0.0,0.0,0.0,44.13
1,2024-01-08 01:33:00,2024-01-08 01:36:00,1,0.33,3,96,244,1,2.5,0.5,0.0,6.55,0.0,9.55
1,2024-01-13 12:47:00,2024-01-13 13:25:00,1,2.59,1,31,1,1,11.52,0.5,0.0,6.55,2.5,21.07
2,2024-01-08 02:30:00,2024-01-08 03:07:00,1,1.16,1,22,89,1,6.03,1.0,0.0,0.0,2.5,9.530000000000001
2,2024-01-11 21:47:00,2024-01-11 21:51:00,1,0.33,2,17,139,1,7.07,0.5,1.86,0.0,2.5,11.93
2,2024-01-08 23:34:00,2024-01-09 00:16:00,1,0.4,3,212,87,2,5.14,0.5,2.29,6.55,0.0,14.48
2,2024-01-01 21:46:00,2024-01-01 22:11:00,1,6.86,2,148,2,2,21.62,0.0,1.79,0.0,0.0,23.41
1,2024-01-05 16:56:00,2024-01-05 17:07:00,1,4.87,1,235,168,1,14.4,1.0,3.39,0.0,2.5,21.29
2,2024-01-07 13:54:00,2024-01-07 14:30:00,3,5.46,3,87,119,1,20.28,0.5,1.76,6.55,0.0,29.090000000000003
2,2024-01-06 05:26:00,2024-01-06 06:14:00,1,10.97,1,38,80,1,30.72,0.0,0.0,0.0,0.0,30.72
1,2024-01-04 20:10:00,2024-01-04 20:26:00,1,0.54,2,53,111,2,6.13,0.5,3.65,0.0,0.0,10.28
2,2024-01-03 14:28:00,2024-01-03 14:34:00,3,1.01,1,28,165,1,3.08,1.0,0.0,6.55,0.0,10.629999999999999
1,2024-01-10 09:45:00,2024-01-10 10:17:00,1,2.54,3,77,219,1,13.24,0.0,3.78,0.0,2.5,19.52
2,2024-01-01 11:03:00,2024-01-01 11:36:00,1,1.52,1,200,5,1,7.66,0.0,0.46,0.0,2.5,10.620000000000001
2,2024-01-02 09:18:00,2024-01-02 09:58:00,1,1.25,1,173,215,1,8.11,0.5,0.7,0.0,2.5,11.809999999999999
1,2024-01-06 13:14:00,2024-01-06 13:27:00,1,1.02,3,50,195,1,6.06,0.5,0.77,6.55,0.0,13.879999999999999
2,2024-01-13 09:59:00,2024-01-13 10:36:00,1,2.07,1,177,6,2,5.8,1.0,1.56,6.55,2.5,17.41
1,2024-01-03 07:04:00,2024-01-03 07:14:00,2,1.97,1,227,58,1,6.36,1.0,0.0,6.55,0.0,13.91
1,2024-01-14 23:47:00,2024-01-14 23:52:00,3,0.41,3,127,102,1,5.83,0.5,0.0,0.0,2.5,8.83
1,2024-01-13 15:57:00,2024-01-13 16:13:00,3,1.47,3,21,48,1,7.53,0.0,0.44,6.55,2.5,17.02
2,2024-01-10 14:08:00,2024-01-10 14:23:00,4,1.85,3,199,163,2,11.13,1.0,0.68,0.0,0.0,12.81
2,2024-01-05 13:45:00,2024-01-05 14:32:00,3,1.94,3,189,196,2,9.44,1.0,2.7,0.0,2.5,15.64
1,2024-01-13 06:35:00,2024-01-13 07:09:00,4,0.54,1,152,132,2,2.5,0.0,4.25,0.0,0.0,6.75
2,2024-01-14 20:45:00,2024-01-14 21:21:00,1,3.12,1,160,66,1,9.75,0.5,0.05,0.0,2.5,12.8
2,2024-01-09 02:09:00,2024-01-09 02:56:00,4,0.06,1,96,83,1,3.43,1.0,1.84,0.0,2.5,8.77
2,2024-01-02 03:16:00,2024-01-02 03:37:00,4,1.01,1,75,229,1,2.83,0.0,0.08,0.0,2.5,5.41
1,2024-01-14 22:40:00,2024-01-14 23:20:00,2,3.48,1,82,219,1,16.93,1.0,0.0,6.55,2.5,26.98
1,2024-01-12 20:42:00,2024-01-12 21:00:00,1,1.91,2,128,225,2,9.45,0.0,2.69,0.0,2.5,14.639999999999999
2,2024-01-04 06:57:00,2024-01-04 07:01:00,3,0.7,2,133,113,1,8.03,1.0,2.93,0.0,2.5,14.459999999999999
1,2024-01-11 02:35:00,2024-01-11 03:17:00,1,2.73,1,139,140,2,7.64,0.5,3.7,0.0,0.0,11.84
2,2024-01-10 15:17:00,2024-01-10 15:36:00,1,1.93,1,246,185,1,11.52,0.0,0.0,0.0,2.5,14.02
2,2024-01-01 14:14:00,2024-01-01 14:50:00,1,3.66,1,112,173,1,18.83,1.0,4.32,0.0,2.5,26.65
2,2024-01-05 01:35:00,2024-01-05 02:19:00,2,3.05,3,203,11,1,8.54,1.0,0.4,0.0,0.0,9.94
1,2024-01-06 03:12:00,2024-01-06 03:30:00,1,2.17,1,170,159,2,11.0,0.0,0.63,0.0,0.0,11.63
1,2024-01-10 16:29:00,2024-01-10 17:09:00,2,1.54,1,87,205,1,7.31,0.0,0.32,0.0,2.5,10.129999999999999
2,2024-01-13 13:31:00,2024-01-13 13:35:00,4,0.33,3,119,230,1,2.5,0.5,3.51,0.0,2.5,9.01
1,2024-01-05 00:31:00,2024-01-05 00:35:00,1,0.7,2,98,26,1,6.19,0.0,0.57,0.0,0.0,6.760000000000001
2,2024-01-04 10:11:00,2024-01-04 10:39:00,2,1.25,3,240,159,2,8.58,1.0,0.0,0.0,2.5,12.08
1,2024-01-14 19:34:00,2024-01-14 19:49:00,1,2.1,1,138,148,1,7.38,0.5,0.0,0.0,2.5,10.379999999999999
1,2024-01-01 03:22:00,2024-01-01 04:11:00,2,1.66,1,82,83,1,10.56,0.0,0.0,6.55,2.5,19.61
1,2024-01-08 22:47:00,2024-01-08 23:20:00,1,0.78,1,236,26,1,2.5,1.0,0.1,0.0,0.0,3.6
2,2024-01-09 19:28:00,2024-01-09 20:04:00,2,0.01,2,136,71,1,2.5,0.0,0.25,0.0,2.5,5.25
2,2024-01-04 01:09:00,2024-01-04 01:50:00,2,1.58,1,3,37,1,7.77,1.0,0.0,6.55,0.0,15.32
2,2024-01-02 14:47:00,2024-01-02 14:52:00,2,0.77,3,59,133,1,5.22,1.0,2.63,6.55,2.5,17.9
1,2024-01-06 13:24:00,2024-01-06 13:34:00,1,3.05,1,116,126,1,9.75,0.5,1.82,6.55,0.0,18.62
2,2024-01-14 09:55:00,2024-01-14 10:20:00,1,0.06,1,131,115,2,5.19,0.5,0.52,0.0,0.0,6.210000000000001
2,2024-01-06 09:37:00,2024-01-06 09:53:00,4,2.02,3,201,92,1,9.98,0.0,0.58,6.55,2.5,19.61
2,2024-01-01 03:17:00,2024-01-01 03:46:00,1,6.53,1,98,242,1,23.43,0.5,3.66,0.0,0.0,27.59
2,2024-01-02 08:10:00,2024-01-02 08:41:00,2,0.44,1,216,200,1,3.92,0.0,0.0,0.0,0.0,3.92
1,2024-01-09 04:14:00,2024-01-09 04:55:00,1,1.47,1,124,207,1,8.62,0.5,2.64,0.0,2.5,14.26
1,2024-01-11 11:27:00,2024-01-11 12:08:00,1,0.22,3,73,117,1,2.5,0.5,0.0,6.55,0.0,9.55
2,2024-01-07 11:39:00,2024-01-07 11:42:00,1,2.26,3,130,219,1,14.46,0.0,0.6,0.0,0.0,15.06
1,2024-01-09 01:09:00,2024-01-09 01:28:00,1,1.84,2,27,243,1,6.12,0.5,0.0,6.55,0.0,13.17
1,2024-01-14 02:55:00,2024-01-14 03:38:00,2,1.2,1,165,172,1,11.62,0.5,0.0,0.0,0.0,12.12
1,2024-01-11 21:48:00,2024-01-11 22:20:00,1,1.69,1,68,76,1,7.82,0.5,0.0,0.0,2.5,10.82
1,2024-01-12 20:03:00,2024-01-12 20:18:00,1,5.22,1,14,209,1,14.62,0.5,1.15,0.0,2.5,18.77
1,2024-01-02 22:51:00,2024-01-02 23:14:00,1,0.5,1,98,105,1,7.82,0.0,0.88,0.0,2.5,11.200000000000001
2,2024-01-10 21:23:00,2024-01-10 21:44:00,1,0.05,3,247,26,1,3.45,1.0,0.0,0.0,0.0,4.45
1,2024-01-05 13:06:00,2024-01-05 13:27:00,4,4.55,3,112,79,2,17.87,0.0,0.0,0.0,2.5,20.37
2,2024-01-02 09:06:00,2024-01-02 09:33:00,4,1.98,1,207,128,2,11.6,0.0,4.68,0.0,0.0,16.28
2,2024-01-06 18:58:00,2024-01-06 19:22:00,1,5.09,1,233,137,1,18.1,0.0,0.0,0.0,2.5,20.6
2,2024-01-08 22:11:00,2024-01-08 22:44:00,1,2.09,1,61,36,1,7.37,0.5,0.0,6.55,0.0,14.42
1,2024-01-03 00:31:00,2024-01-03 00:50:00,1,3.82,2,85,59,1,16.14,0.5,3.16,6.55,2.5,28.85
1,2024-01-02 04:54:00,2024-01-02 05:19:00,1,1.29,1,183,230,2,6.61,1.0,0.51,0.0,0.0,8.120000000000001
1,2024-01-13 15:47:00,2024-01-13 16:21:00,2,3.19,3,239,124,2,13.65,0.5,0.0,6.55,0.0,20.7
1,2024-01-07 00:40:00,2024-01-07 00:52:00,1,5.62,1,250,88,2,15.74,1.0,2.65,0.0,0.0,19.39
2,2024-01-14 10:40:00,2024-01-14 10:52:00,1,1.95,1,71,141,1,9.58,1.0,2.33,6.55,0.0,19.46
2,2024-01-13 17:43:00,2024-01-13 18:21:00,4,0.46,1,228,51,1,2.69,0.5,2.7,0.0,2.5,8.39
2,2024-01-04 23:59:00,2024-01-05 00:09:00,2,0.72,3,85,55,1,9.15,1.0,0.0,0.0,0.0,10.15
1,2024-01-02 15:45:00,2024-01-02 16:39:00,1,0.51,1,236,150,1,5.99,0.0,7.36,6.55,0.0,19.900000000000002
